date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648

2024-10-29 | 2
2024-10-29 | +2
2024-10-29 | a
2024-13-32 | 2
201-01-11 | 1
2012-01-11  | 1
2012-01-11 |  1
2012-01-11  |  1
2012-01-11 |
 | 
|
2019-0111 | 1
201901-11 | 1
20190111 | 1
1000-01-01 | 2
0000-01-01 | 2

2023-01-31 | 1
2023-02-28 | 1
2024-02-29 | 1
2023-03-31 | 1
2023-04-30 | 1
2023-05-31 | 1
2023-06-30 | 1
2023-07-31 | 1
2023-08-31 | 1
2023-09-30 | 1
2023-10-31 | 1
2023-11-30 | 1
2023-12-31 | 1

2023-01-00 | 1
2023-13-01 | 1
2023-01-32 | 1
2023-02-29 | 1
2024-02-30 | 1
2023-03-32 | 1
2023-04-31 | 1
2023-05-32 | 1
2023-06-31 | 1
2023-07-32 | 1
2023-08-32 | 1
2023-09-31 | 1
2023-10-32 | 1
2023-11-31 | 1
2023-12-32 | 1
